unique,day,timepoint,Group,Height,Site,Input_D1,Input_D4,Population,Tag,Colour,Size,ID,heartrate,confidence,temperature,SD_hz
Group1_lower 1_38W_mSU_D1_T1,D1,T1,1,lower,lower 1,0,NA,mSU,38,W,6.1,Group1_lower 1_38W_mSU,93.50649351,Good,18.3,0.112120252
Group1_lower 1_39W_uRB_D1_T1,D1,T1,1,lower,lower 1,1,NA,uRB,39,W,6.6,Group1_lower 1_39W_uRB,53.33333333,Discard,21.3,0.364361243
Group1_lower 1_40W_mRB_D1_T1,D1,T1,1,lower,lower 1,2,NA,mRB,40,W,6.4,Group1_lower 1_40W_mRB,65.64102564,Good,24.8,0.307450801
Group1_lower 1_41W_mSU_D1_T1,D1,T1,1,lower,lower 1,3,NA,mSU,41,W,5.7,Group1_lower 1_41W_mSU,95.91836735,Good,22.3,0.28661636
Group1_lower 1_42W_uRB_D1_T1,D1,T1,1,lower,lower 1,4,NA,uRB,42,W,6.4,Group1_lower 1_42W_uRB,57.68240343,Discard,20.8,0.42310605
Group1_lower 1_43W_mRB_D1_T1,D1,T1,1,lower,lower 1,5,NA,mRB,43,W,6.4,Group1_lower 1_43W_mRB,81.99072121,Good,20.1,0.241954819
Group1_lower 2_12W_mRB_D1_T1,D1,T1,1,lower,lower 2,2,5,mRB,12,W,6.5,Group1_lower 2_12W_mRB,87.19898606,Good,21.5,0.332667968
Group1_lower 2_13W_mSU_D1_T1,D1,T1,1,lower,lower 2,3,4,mSU,13,W,6.5,Group1_lower 2_13W_mSU,82.09459459,Good,21.5,0.212830988
Group1_lower 2_14W_uRB_D1_T1,D1,T1,1,lower,lower 2,4,NA,uRB,14,W,6.3,Group1_lower 2_14W_uRB,74.13127413,Good,23.1,0.381540675
Group1_lower 2_16W_mSU_D1_T1,D1,T1,1,lower,lower 2,5,NA,mSU,16,W,4.3,Group1_lower 2_16W_mSU,98.7696224,Good,21.7,0.473684151
Group1_lower 2_8W_uRB_D1_T1,D1,T1,1,lower,lower 2,0,NA,uRB,8,W,NA,Group1_lower 2_8W_uRB,63.85135135,Good,18.6,0.240870813
Group1_lower 2_9W_mRB_D1_T1,D1,T1,1,lower,lower 2,1,3,mRB,9,W,5.9,Group1_lower 2_9W_mRB,72.6342711,Good,20.8,0.188644654
Group1_lower 3_16Y_mSU_D1_T1,D1,T1,1,lower,lower 3,0,NA,mSU,16,Y,5.8,Group1_lower 3_16Y_mSU,110.6918239,Good,25,0.212069934
Group1_lower 3_17Y_uRB_D1_T1,D1,T1,1,lower,lower 3,1,NA,uRB,17,Y,6,Group1_lower 3_17Y_uRB,78.75,Good,23.5,0.206439461
Group1_lower 3_18Y_mRB_D1_T1,D1,T1,1,lower,lower 3,2,NA,mRB,18,Y,5.1,Group1_lower 3_18Y_mRB,79.76139753,Good,24.9,0.053932443
Group1_lower 3_20Y_uRB_D1_T1,D1,T1,1,lower,lower 3,3,NA,uRB,20,Y,6.9,Group1_lower 3_20Y_uRB,61.74609869,Good,25,0.163190738
Group1_lower 3_21Y_mRB_D1_T1,D1,T1,1,lower,lower 3,4,NA,mRB,21,Y,6.7,Group1_lower 3_21Y_mRB,87.10304601,Good,24.2,0.130187008
Group1_lower 3_22Y_mSU_D1_T1,D1,T1,1,lower,lower 3,5,3,mSU,22,Y,4.2,Group1_lower 3_22Y_mSU,51.12910098,Discard,27.7,0.34113404
Group1_upper 1_19B_uRB_D1_T1,D1,T1,1,upper,upper 1,5,NA,uRB,19,B,7,Group1_upper 1_19B_uRB,71.58074137,Good,20.8,0.228902962
Group1_upper 1_20B_mRB_D1_T1,D1,T1,1,upper,upper 1,0,5,mRB,20,B,5.3,Group1_upper 1_20B_mRB,79.8652064,Good,20.3,0.40943694
Group1_upper 1_21B_mSU_D1_T1,D1,T1,1,upper,upper 1,1,NA,mSU,21,B,4.5,Group1_upper 1_21B_mSU,61.25053169,Good,21.6,0.250847465
Group1_upper 1_22B_uRB_D1_T1,D1,T1,1,upper,upper 1,2,NA,uRB,22,B,6.3,Group1_upper 1_22B_uRB,66.29834254,Good,20,0.136153082
Group1_upper 1_23B_mRB_D1_T1,D1,T1,1,upper,upper 1,3,NA,mRB,23,B,5.4,Group1_upper 1_23B_mRB,76.92956558,Good,20.8,0.104565942
Group1_upper 1_24B_mSU_D1_T1,D1,T1,1,upper,upper 1,4,NA,mSU,24,B,5.6,Group1_upper 1_24B_mSU,87.01517707,Good,19.7,0.271688819
Group1_upper 2_35G_uRB_D1_T1,D1,T1,1,upper,upper 2,0,NA,uRB,35,G,6,Group1_upper 2_35G_uRB,62.56410256,Good,19.4,0.072793493
Group1_upper 2_36G_mSU_D1_T1,D1,T1,1,upper,upper 2,1,NA,mSU,36,G,5.6,Group1_upper 2_36G_mSU,74.9358426,Good,21.8,0.102494488
Group1_upper 2_37G_mRB_D1_T1,D1,T1,1,upper,upper 2,2,NA,mRB,37,G,5.6,Group1_upper 2_37G_mRB,57.94155019,Good,21.8,0.115915353
Group1_upper 2_38G_uRB_D1_T1,D1,T1,1,upper,upper 2,3,NA,uRB,38,G,6.4,Group1_upper 2_38G_uRB,46.61199827,Discard,21.6,0.40357404
Group1_upper 2_39G_mSU_D1_T1,D1,T1,1,upper,upper 2,4,5,mSU,39,G,5,Group1_upper 2_39G_mSU,92.96842105,Good,22.4,0.086392959
Group1_upper 2_40G_mRB_D1_T1,D1,T1,1,upper,upper 2,5,NA,mRB,40,G,5.8,Group1_upper 2_40G_mRB,82.65434691,Good,20.5,0.053626016
Group1_upper 3_41Y_mRB_D1_T1,D1,T1,1,upper,upper 3,0,NA,mRB,41,Y,5.3,Group1_upper 3_41Y_mRB,82.0599409,Good,28.1,0.053610251
Group1_upper 3_42Y_uRB_D1_T1,D1,T1,1,upper,upper 3,1,NA,uRB,42,Y,5.3,Group1_upper 3_42Y_uRB,72.63556116,Good,32,0.035890179
Group1_upper 3_43Y_mSU_D1_T1,D1,T1,1,upper,upper 3,2,NA,mSU,43,Y,5.4,Group1_upper 3_43Y_mSU,61.61745828,Discard,29.1,0.360786233
Group1_upper 3_45Y_uRB_D1_T1,D1,T1,1,upper,upper 3,3,NA,uRB,45,Y,7.6,Group1_upper 3_45Y_uRB,73.19587629,Good,28.1,0.266420879
Group1_upper 3_46Y_mSU_D1_T1,D1,T1,1,upper,upper 3,4,4,mSU,46,Y,5.6,Group1_upper 3_46Y_mSU,122.2736842,Good,29.1,0.10184411
Group1_upper 3_47Y_mRB_D1_T1,D1,T1,1,upper,upper 3,5,NA,mRB,47,Y,6.2,Group1_upper 3_47Y_mRB,96.28378378,Good,29.8,0.161222857
Group2_lower 1_2Y_mRB_D1_T1,D1,T1,2,lower,lower 1,0,NA,mRB,2,Y,6,Group2_lower 1_2Y_mRB,78.49056604,Good,19.3,0.054115218
Group2_lower 1_3Y_mSU_D1_T1,D1,T1,2,lower,lower 1,1,NA,mSU,3,Y,5,Group2_lower 1_3Y_mSU,39.03462749,Discard,24.4,0.221924402
Group2_lower 1_4Y_uRB_D1_T1,D1,T1,2,lower,lower 1,2,NA,uRB,4,Y,5.9,Group2_lower 1_4Y_uRB,80.82901554,Good,24.2,0.216538382
Group2_lower 1_5Y_mRB_D1_T1,D1,T1,2,lower,lower 1,3,2,mRB,5,Y,6.1,Group2_lower 1_5Y_mRB,84.36911488,Good,25.7,0.153580955
Group2_lower 1_6Y_mSU_D1_T1,D1,T1,2,lower,lower 1,4,NA,mSU,6,Y,5,Group2_lower 1_6Y_mSU,82.33276158,Good,26.2,0.155100124
Group2_lower 1_7Y_uRB_D1_T1,D1,T1,2,lower,lower 1,5,NA,uRB,7,Y,6.3,Group2_lower 1_7Y_uRB,82.05128205,Good,27.7,0.201572915
Group2_lower 2_23W_mSU_D1_T1,D1,T1,2,lower,lower 2,0,5,mSU,23,W,4.7,Group2_lower 2_23W_mSU,91.02402023,Good,20.9,0.189232143
Group2_lower 2_24W_uRB_D1_T1,D1,T1,2,lower,lower 2,1,NA,uRB,24,W,6.7,Group2_lower 2_24W_uRB,75.78947368,Good,23,0.217873187
Group2_lower 2_25W_mRB_D1_T1,D1,T1,2,lower,lower 2,2,NA,mRB,25,W,6.3,Group2_lower 2_25W_mRB,73.15834039,Good,21.6,0.14497536
Group2_lower 2_26W_mSU_D1_T1,D1,T1,2,lower,lower 2,3,0,mSU,26,W,6,Group2_lower 2_26W_mSU,55.66600398,Discard,20.5,0.310473274
Group2_lower 2_27W_uRB_D1_T1,D1,T1,2,lower,lower 2,4,NA,uRB,27,W,6.2,Group2_lower 2_27W_uRB,55.93439793,Discard,22.8,0.287570938
Group2_lower 2_28W_mRB_D1_T1,D1,T1,2,lower,lower 2,5,NA,mRB,28,W,6.8,Group2_lower 2_28W_mRB,92.46231156,Good,25.6,0.103706951
Group2_lower 3_35Y_mSU_D1_T1,D1,T1,2,lower,lower 3,0,1,mSU,35,Y,4.9,Group2_lower 3_35Y_mSU,72.03513909,Good,21.6,0.309061393
Group2_lower 3_36Y_uRB_D1_T1,D1,T1,2,lower,lower 3,1,NA,uRB,36,Y,5.9,Group2_lower 3_36Y_uRB,60.12738854,Good,21.4,0.039625098
Group2_lower 3_37Y_mRB_D1_T1,D1,T1,2,lower,lower 3,2,NA,mRB,37,Y,6.7,Group2_lower 3_37Y_mRB,58.43828715,Good,19.7,0.275401465
Group2_lower 3_38Y_mSU_D1_T1,D1,T1,2,lower,lower 3,3,0,mSU,38,Y,5.2,Group2_lower 3_38Y_mSU,72.01565558,Good,18.3,0.33476953
Group2_lower 3_39Y_uRB_D1_T1,D1,T1,2,lower,lower 3,4,NA,uRB,39,Y,6.7,Group2_lower 3_39Y_uRB,62.94416244,Good,20.2,0.178428364
Group2_lower 3_40Y_mRB_D1_T1,D1,T1,2,lower,lower 3,5,NA,mRB,40,Y,5.9,Group2_lower 3_40Y_mRB,68.63270777,Good,19.2,0.199283011
Group2_upper 1_30B_mSU_D1_T1,D1,T1,2,upper,upper 1,0,0,mSU,30,B,4.8,Group2_upper 1_30B_mSU,85.05392912,Good,25.9,0.3156868
Group2_upper 1_31B_uRB_D1_T1,D1,T1,2,upper,upper 1,1,NA,uRB,31,B,5.4,Group2_upper 1_31B_uRB,106.1946903,Good,31.1,0.062218377
Group2_upper 1_32B_mRB_D1_T1,D1,T1,2,upper,upper 1,2,NA,mRB,32,B,6.5,Group2_upper 1_32B_mRB,92.85113541,Good,27.5,0.06948016
Group2_upper 1_33B_mSU_D1_T1,D1,T1,2,upper,upper 1,3,NA,mSU,33,B,6,Group2_upper 1_33B_mSU,119.7725837,Good,27.4,0.108366963
Group2_upper 1_34B_uRB_D1_T1,D1,T1,2,upper,upper 1,4,NA,uRB,34,B,7,Group2_upper 1_34B_uRB,89.26458157,Good,28.1,0.551404213
Group2_upper 1_35B_mRB_D1_T1,D1,T1,2,upper,upper 1,5,NA,mRB,35,B,5,Group2_upper 1_35B_mRB,96.16195698,Good,30.1,0.052553159
Group2_upper 2_1B_mRB_D1_T1,D1,T1,2,upper,upper 2,0,NA,mRB,1,B,6,Group2_upper 2_1B_mRB,66.28452319,Good,28.4,0.042970297
Group2_upper 2_2B_uRB_D1_T1,D1,T1,2,upper,upper 2,1,NA,uRB,2,B,6.4,Group2_upper 2_2B_uRB,79.00812313,Good,28.6,0.041382347
Group2_upper 2_45B_mSU_D1_T1,D1,T1,2,upper,upper 2,5,NA,mSU,45,B,4.4,Group2_upper 2_45B_mSU,94.13749473,Good,32.6,0.159978151
Group2_upper 2_4B_mSU_D1_T1,D1,T1,2,upper,upper 2,2,NA,mSU,4,B,5.7,Group2_upper 2_4B_mSU,103.2040472,Good,33.9,0.049008558
Group2_upper 2_5B_mRB_D1_T1,D1,T1,2,upper,upper 2,3,NA,mRB,5,B,6.1,Group2_upper 2_5B_mRB,94.90954985,Good,30.9,0.037960743
Group2_upper 2_6B_uRB_D1_T1,D1,T1,2,upper,upper 2,4,NA,uRB,6,B,6.3,Group2_upper 2_6B_uRB,65.80976864,Good,27.9,0.06846749
Group2_upper 3_13G_mRB_D1_T1,D1,T1,2,upper,upper 3,0,0,mRB,13,G,6.5,Group2_upper 3_13G_mRB,73.21613237,Good,19.7,0.278576018
Group2_upper 3_15G_uRB_D1_T1,D1,T1,2,upper,upper 3,1,1,uRB,15,G,6.1,Group2_upper 3_15G_uRB,62.53737719,Good,20.6,0.212017779
Group2_upper 3_16G_mSU_D1_T1,D1,T1,2,upper,upper 3,2,NA,mSU,16,G,4.9,Group2_upper 3_16G_mSU,82.65497808,Good,21.3,0.254519598
Group2_upper 3_17G_uRB_D1_T1,D1,T1,2,upper,upper 3,3,2,uRB,17,G,6,Group2_upper 3_17G_uRB,85.38985617,Good,21.8,0.349702296
Group2_upper 3_21G_mRB_D1_T1,D1,T1,2,upper,upper 3,5,3,mRB,21,G,6.5,Group2_upper 3_21G_mRB,58.31202046,Good,23.1,0.202678788
Group2_upper 3_screw_mSU_D1_T1,D1,T1,2,upper,upper 3,4,NA,mSU,screw,NA,4.2,Group2_upper 3_screw_mSU,108.588186,Good,24.6,0.092645082
Group3_lower 1_36W_mRB_D1_T1,D1,T1,3,lower,lower 1,0,NA,mRB,36,W,6.1,Group3_lower 1_36W_mRB,93.63867684,Good,29.4,0.23086207
Group3_lower 1_37W_mSU_D1_T1,D1,T1,3,lower,lower 1,1,NA,mSU,37,W,4.6,Group3_lower 1_37W_mSU,113.7597791,Good,28.3,0.304043278
Group3_lower 1_38W_uRB_D1_T1,D1,T1,3,lower,lower 1,2,NA,uRB,38,W,7,Group3_lower 1_38W_uRB,85.82375479,Good,26.5,0.042814699
Group3_lower 1_39W_mRB_D1_T1,D1,T1,3,lower,lower 1,3,NA,mRB,39,W,6.4,Group3_lower 1_39W_mRB,95.46621044,Good,28.6,0.084397417
Group3_lower 1_40W_mSU_D1_T1,D1,T1,3,lower,lower 1,4,NA,mSU,40,W,4.2,Group3_lower 1_40W_mSU,55.60235889,Discard,25.4,0.413106943
