time,temp,logger,height
12/07/2022 09:50,35.1,upper 1A,upper
12/07/2022 10:00,33.4,upper 1A,upper
12/07/2022 10:10,35.8,upper 1A,upper
12/07/2022 10:20,35.9,upper 1A,upper
12/07/2022 10:30,35.8,upper 1A,upper
12/07/2022 10:40,33.8,upper 1A,upper
12/07/2022 10:50,33.7,upper 1A,upper
12/07/2022 11:00,33,upper 1A,upper
12/07/2022 11:10,33,upper 1A,upper
12/07/2022 11:20,33.3,upper 1A,upper
12/07/2022 11:30,26.5,upper 1A,upper
12/07/2022 11:40,22.8,upper 1A,upper
12/07/2022 11:50,24.6,upper 1A,upper
12/07/2022 12:00,20,upper 1A,upper
12/07/2022 12:10,16.5,upper 1A,upper
12/07/2022 12:20,16.1,upper 1A,upper
12/07/2022 12:30,15,upper 1A,upper
12/07/2022 12:40,14.8,upper 1A,upper
12/07/2022 12:50,14.7,upper 1A,upper
12/07/2022 13:00,14.5,upper 1A,upper
12/07/2022 13:10,14.5,upper 1A,upper
12/07/2022 13:20,14.4,upper 1A,upper
12/07/2022 13:30,14.3,upper 1A,upper
12/07/2022 13:40,14.3,upper 1A,upper
12/07/2022 13:50,14.5,upper 1A,upper
12/07/2022 14:00,14.7,upper 1A,upper
12/07/2022 14:10,14.7,upper 1A,upper
12/07/2022 14:20,14.8,upper 1A,upper
12/07/2022 14:30,14.7,upper 1A,upper
12/07/2022 14:40,14.9,upper 1A,upper
12/07/2022 14:50,15,upper 1A,upper
12/07/2022 15:00,17.8,upper 1A,upper
12/07/2022 15:10,17.4,upper 1A,upper
12/07/2022 15:20,20.4,upper 1A,upper
12/07/2022 15:30,22.8,upper 1A,upper
12/07/2022 15:40,22.7,upper 1A,upper
12/07/2022 15:50,22.9,upper 1A,upper
12/07/2022 16:00,25.9,upper 1A,upper
12/07/2022 16:10,25.3,upper 1A,upper
12/07/2022 16:20,27.9,upper 1A,upper
12/07/2022 16:30,29.2,upper 1A,upper
12/07/2022 16:40,30.7,upper 1A,upper
12/07/2022 16:50,33.4,upper 1A,upper
12/07/2022 17:00,33.7,upper 1A,upper
12/07/2022 17:10,31,upper 1A,upper
12/07/2022 17:20,29.4,upper 1A,upper
12/07/2022 17:30,28.6,upper 1A,upper
12/07/2022 17:40,31.1,upper 1A,upper
12/07/2022 17:50,27.3,upper 1A,upper
12/07/2022 18:00,26.9,upper 1A,upper
12/07/2022 18:10,27.2,upper 1A,upper
12/07/2022 18:20,27.5,upper 1A,upper
12/07/2022 18:30,26.9,upper 1A,upper
12/07/2022 18:40,26.6,upper 1A,upper
12/07/2022 18:50,26.4,upper 1A,upper
12/07/2022 19:00,24.7,upper 1A,upper
12/07/2022 19:10,24.1,upper 1A,upper
12/07/2022 19:20,24.1,upper 1A,upper
12/07/2022 19:30,23.8,upper 1A,upper
12/07/2022 19:40,23.1,upper 1A,upper
12/07/2022 19:50,22.5,upper 1A,upper
12/07/2022 20:00,21.4,upper 1A,upper
12/07/2022 20:10,21,upper 1A,upper
12/07/2022 20:20,20.6,upper 1A,upper
12/07/2022 20:30,20.8,upper 1A,upper
12/07/2022 20:40,20.9,upper 1A,upper
12/07/2022 20:50,20.9,upper 1A,upper
12/07/2022 21:00,21.1,upper 1A,upper
12/07/2022 21:10,20.6,upper 1A,upper
12/07/2022 21:20,20.6,upper 1A,upper
12/07/2022 21:30,20.2,upper 1A,upper
12/07/2022 21:40,19.9,upper 1A,upper
12/07/2022 21:50,19.6,upper 1A,upper
12/07/2022 22:00,19.7,upper 1A,upper
12/07/2022 22:10,21.3,upper 1A,upper
12/07/2022 22:20,20.6,upper 1A,upper
12/07/2022 22:30,19.9,upper 1A,upper
12/07/2022 22:40,19.4,upper 1A,upper
12/07/2022 22:50,19.1,upper 1A,upper
12/07/2022 23:00,20.6,upper 1A,upper
12/07/2022 23:10,24,upper 1A,upper
12/07/2022 23:20,25.1,upper 1A,upper
12/07/2022 23:30,24.7,upper 1A,upper
12/07/2022 23:40,22.2,upper 1A,upper
12/07/2022 23:50,19.4,upper 1A,upper
13/07/2022 00:00,18.3,upper 1A,upper
13/07/2022 00:10,17.1,upper 1A,upper
13/07/2022 00:20,15.1,upper 1A,upper
13/07/2022 00:30,14.6,upper 1A,upper
13/07/2022 00:40,14.2,upper 1A,upper
13/07/2022 00:50,14.2,upper 1A,upper
13/07/2022 01:00,14.1,upper 1A,upper
13/07/2022 01:10,14.2,upper 1A,upper
13/07/2022 01:20,14.1,upper 1A,upper
13/07/2022 01:30,14,upper 1A,upper
13/07/2022 01:40,14,upper 1A,upper
13/07/2022 01:50,14,upper 1A,upper
13/07/2022 02:00,14,upper 1A,upper
13/07/2022 02:10,14.1,upper 1A,upper
13/07/2022 02:20,14.2,upper 1A,upper
13/07/2022 02:30,14.2,upper 1A,upper
13/07/2022 02:40,14.1,upper 1A,upper
13/07/2022 02:50,14.2,upper 1A,upper
13/07/2022 03:00,14.2,upper 1A,upper
13/07/2022 03:10,14.2,upper 1A,upper
13/07/2022 03:20,14.2,upper 1A,upper
13/07/2022 03:30,14.3,upper 1A,upper
13/07/2022 03:40,14.3,upper 1A,upper
13/07/2022 03:50,14.3,upper 1A,upper
13/07/2022 04:00,14.1,upper 1A,upper
13/07/2022 04:10,14.3,upper 1A,upper
13/07/2022 04:20,14.3,upper 1A,upper
13/07/2022 04:30,15.1,upper 1A,upper
13/07/2022 04:40,15.2,upper 1A,upper
13/07/2022 04:50,15.2,upper 1A,upper
13/07/2022 05:00,15.1,upper 1A,upper
13/07/2022 05:10,15.4,upper 1A,upper
13/07/2022 05:20,15.3,upper 1A,upper
13/07/2022 05:30,15.8,upper 1A,upper
13/07/2022 05:40,15.5,upper 1A,upper
13/07/2022 05:50,16,upper 1A,upper
13/07/2022 06:00,16,upper 1A,upper
13/07/2022 06:10,16.4,upper 1A,upper
13/07/2022 06:20,17,upper 1A,upper
13/07/2022 06:30,17.3,upper 1A,upper
13/07/2022 06:40,18,upper 1A,upper
13/07/2022 06:50,18,upper 1A,upper
13/07/2022 07:00,18.2,upper 1A,upper
13/07/2022 07:10,18.3,upper 1A,upper
13/07/2022 07:20,18.9,upper 1A,upper
13/07/2022 07:30,19.2,upper 1A,upper
13/07/2022 07:40,21.4,upper 1A,upper
13/07/2022 07:50,22.6,upper 1A,upper
13/07/2022 08:00,23.1,upper 1A,upper
13/07/2022 08:10,23.1,upper 1A,upper
13/07/2022 08:20,23.3,upper 1A,upper
13/07/2022 08:30,24.2,upper 1A,upper
13/07/2022 08:40,24.6,upper 1A,upper
13/07/2022 08:50,25.7,upper 1A,upper
13/07/2022 09:00,26.7,upper 1A,upper
13/07/2022 09:10,27.8,upper 1A,upper
13/07/2022 09:20,28.6,upper 1A,upper
13/07/2022 09:30,29.1,upper 1A,upper
13/07/2022 09:40,30.4,upper 1A,upper
13/07/2022 09:50,30.9,upper 1A,upper
13/07/2022 10:00,31.2,upper 1A,upper
13/07/2022 10:10,32.4,upper 1A,upper
13/07/2022 10:20,33.4,upper 1A,upper
13/07/2022 10:30,33.9,upper 1A,upper
13/07/2022 10:40,34.3,upper 1A,upper
13/07/2022 10:50,34.8,upper 1A,upper
13/07/2022 11:00,36.2,upper 1A,upper
13/07/2022 11:10,36.4,upper 1A,upper
13/07/2022 11:20,36.1,upper 1A,upper
13/07/2022 11:30,33.1,upper 1A,upper
13/07/2022 11:40,35.5,upper 1A,upper
13/07/2022 11:50,21.4,upper 1A,upper
13/07/2022 12:00,19.7,upper 1A,upper
13/07/2022 12:10,21.4,upper 1A,upper
13/07/2022 12:20,17.6,upper 1A,upper
13/07/2022 12:30,16,upper 1A,upper
13/07/2022 12:40,17.9,upper 1A,upper
13/07/2022 12:50,15.7,upper 1A,upper
13/07/2022 13:00,15.5,upper 1A,upper
13/07/2022 13:10,15,upper 1A,upper
13/07/2022 13:20,15.1,upper 1A,upper
13/07/2022 13:30,15.1,upper 1A,upper
13/07/2022 13:40,15.1,upper 1A,upper
13/07/2022 13:50,15,upper 1A,upper
13/07/2022 14:00,15,upper 1A,upper
13/07/2022 14:10,14.9,upper 1A,upper
13/07/2022 14:20,14.6,upper 1A,upper
13/07/2022 14:30,14.7,upper 1A,upper
13/07/2022 14:40,15,upper 1A,upper
13/07/2022 14:50,15,upper 1A,upper
13/07/2022 15:00,15.3,upper 1A,upper
13/07/2022 15:10,15.2,upper 1A,upper
13/07/2022 15:20,15.6,upper 1A,upper
13/07/2022 15:30,15.6,upper 1A,upper
13/07/2022 15:40,15.7,upper 1A,upper
13/07/2022 15:50,16,upper 1A,upper
13/07/2022 16:00,16.1,upper 1A,upper
