temp,heart_rate,sd_hz,batch,population,size,snail_id,confidence
20,59.15852104,0.343300659,1,SU,5.5,1_A_SU,Discard
22.3,79.93254637,0.38392625,1,SU,5.5,1_A_SU,Discard
24,58.0398812,0.366459534,1,SU,5.5,1_A_SU,Discard
26.4,91.49560117,0.398574416,1,SU,5.5,1_A_SU,Discard
28.3,124.556962,0.384751195,1,SU,5.5,1_A_SU,Discard
30.2,55.07862303,0.391791375,1,SU,5.5,1_A_SU,Discard
32.3,67.98283262,0.435746201,1,SU,5.5,1_A_SU,Discard
34.3,54.96974935,0.402892011,1,SU,5.5,1_A_SU,Discard
36.3,131.6031812,0.312993547,1,SU,5.5,1_A_SU,Discard
38.3,53.87547649,0.376663662,1,SU,5.5,1_A_SU,Discard
40,48.28767123,0.364277375,1,SU,5.5,1_A_SU,Discard
20,90.3935675,0.303898465,1,SU,4.8,1_B_SU,Good
22.3,109.1368421,0.044648789,1,SU,4.8,1_B_SU,Good
24,121.4165261,0.057618679,1,SU,4.8,1_B_SU,Good
26.4,134.1740227,0.071905941,1,SU,4.8,1_B_SU,Good
28.3,145.149097,0.075320666,1,SU,4.8,1_B_SU,Good
30.2,142.5442291,0.065784801,1,SU,4.8,1_B_SU,Good
32.3,140.7624633,0.121570665,1,SU,4.8,1_B_SU,Good
34.3,85.38754765,0.254888111,1,SU,4.8,1_B_SU,Good
36.3,54.93853328,0.360048613,1,SU,4.8,1_B_SU,Good
38.3,48.81355932,0.27663668,1,SU,4.8,1_B_SU,Good
40,25.37444934,0.329221825,1,SU,4.8,1_B_SU,Good
20,34.56162643,0.084833833,1,mRB,6.1,1_C_mRB,Good
22.3,41.87234043,0.290251049,1,mRB,6.1,1_C_mRB,Good
24,42.5974026,0.025683959,1,mRB,6.1,1_C_mRB,Good
26.4,47.77152748,0.027574908,1,mRB,6.1,1_C_mRB,Good
28.3,54.49871465,0.03844718,1,mRB,6.1,1_C_mRB,Good
30.2,62.43070362,0.03896711,1,mRB,6.1,1_C_mRB,Good
32.3,72.29529062,0.030704187,1,mRB,6.1,1_C_mRB,Good
34.3,75.47169811,0.04727785,1,mRB,6.1,1_C_mRB,Good
36.3,101.295445,0.040338788,1,mRB,6.1,1_C_mRB,Good
38.3,93.28263625,0.065840562,1,mRB,6.1,1_C_mRB,Good
40,100.3378378,0.079479339,1,mRB,6.1,1_C_mRB,Good
20,63.98645789,0.044804844,1,mRB,5.8,1_D_mRB,Good
22.3,61.61616162,0.031496189,1,mRB,5.8,1_D_mRB,Good
24,66.32653061,0.036014284,1,mRB,5.8,1_D_mRB,Good
26.4,73.40696686,0.041653235,1,mRB,5.8,1_D_mRB,Good
28.3,82.55033557,0.043944305,1,mRB,5.8,1_D_mRB,Good
30.2,91.64191769,0.045494744,1,mRB,5.8,1_D_mRB,Good
32.3,95.43147208,0.129250601,1,mRB,5.8,1_D_mRB,Good
34.3,105.7490558,0.136770237,1,mRB,5.8,1_D_mRB,Good
36.3,125.9974801,0.084830187,1,mRB,5.8,1_D_mRB,Good
38.3,110.8777824,0.057868586,1,mRB,5.8,1_D_mRB,Good
40,118.7421384,0.09316881,1,mRB,5.8,1_D_mRB,Good
20,26.32733655,0.021501317,1,uRB,6.1,1_E_uRB,Good
22.3,26.84563758,0.014447378,1,uRB,6.1,1_E_uRB,Good
24,27.89450156,0.013484727,1,uRB,6.1,1_E_uRB,Good
26.4,25.74877068,0.045224101,1,uRB,6.1,1_E_uRB,Good
28.3,28.64721485,0.04984247,1,uRB,6.1,1_E_uRB,Good
